,popularity,budget,revenue,original_title,cast,director,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
4177,8.09375399999999,8000000,213928762,Pulp Fiction,John Travolta|Samuel L. Jackson|Uma Thurman|Bruce Willis|Ving Rhames,Quentin Tarantino,154,Thriller|Crime,Miramax Films|A Band Apart|Jersey Films,1994-10-14,5343,8.1,1994,11768892.492785301,314713075.136581
4361,7.637767,220000000,1519557910,The Avengers,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson,Joss Whedon,143,Science Fiction|Action|Adventure,Marvel Studios,2012-04-25,8903,7.3,2012,208943741.897494,1443191435.20607
4949,7.122455,94000000,1118888979,The Lord of the Rings: The Return of the King,Elijah Wood|Ian McKellen|Viggo Mortensen|Liv Tyler|Orlando Bloom,Peter Jackson,201,Adventure|Fantasy|Action,WingNut Films|New Line Cinema,2003-12-01,5636,7.9,2003,111423148.609557,1326278010.4756699
5230,6.66898999999999,0,0,Eddie Izzard: Glorious,Eddie Izzard|Mac McDonald|Rhona Mitra,Peter Richardson,99,Comedy,,1997-11-17,11,5.5,1997,0.0,0.0
5422,6.112766000000001,150000000,1274219009,Frozen,Kristen Bell|Idina Menzel|Jonathan Groff|Josh Gad|Santino Fontana,Chris Buck|Jennifer Lee,102,Animation|Adventure|Family,Walt Disney Pictures|Walt Disney Animation Studios,2013-11-27,3369,7.5,2013,140405002.911063,1192711491.11985
6081,6.095293,19000000,381109762,Back to the Future,Michael J. Fox|Christopher Lloyd|Lea Thompson|Crispin Glover|Thomas F. Wilson,Robert Zemeckis,116,Adventure|Comedy|Science Fiction|Family,Universal Pictures|Amblin Entertainment|U-Drive Productions,1985-07-03,3785,7.8,1985,38516154.993062,772572771.713735
6190,5.939927,150000000,895921036,Harry Potter and the Goblet of Fire,Daniel Radcliffe|Rupert Grint|Emma Watson|Ralph Fiennes|Michael Gambon,Mike Newell,157,Adventure|Fantasy|Family,Patalex IV Productions Limited|Warner Bros.|Heyday Films,2005-11-05,3406,7.3,2005,167484493.448174,1000352539.2268199
6554,5.838503,50000000,111340801,Underworld: Evolution,Kate Beckinsale|Scott Speedman|Tony Curran|Shane Brolly|Derek Jacobi,Len Wiseman,106,Fantasy|Action|Science Fiction|Thriller,Lakeshore Entertainment|Screen Gems,2006-01-12,1015,6.3,2006,54083457.9145786,120433910.50117901
6962,5.827781,130000000,789804554,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe|Rupert Grint|Emma Watson|Gary Oldman|David Thewlis,Alfonso CuarÃ³n,141,Adventure|Fantasy|Family,1492 Pictures|Warner Bros.|Heyday Films|P of A Productions Limited,2004-05-31,3550,7.4,2004,150077901.975579,911786234.1159849
7269,5.738034,6000000,245066411,The Godfather,Marlon Brando|Al Pacino|James Caan|Richard S. Castellano|Robert Duvall,Francis Ford Coppola,175,Drama|Crime,Paramount Pictures|Alfran Productions,1972-03-15,3970,8.3,1972,31287365.5881737,1277913732.38977
7309,5.488441000000001,18000000,538400000,The Empire Strikes Back,Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams|Anthony Daniels,Irvin Kershner,124,Adventure|Action|Science Fiction,Lucasfilm|Twentieth Century Fox Film Corporation,1980-01-01,3954,8.0,1980,47628661.5525832,1424626187.77282
7387,4.965391,300000000,961000000,Pirates of the Caribbean: At World's End,Johnny Depp|Orlando Bloom|Keira Knightley|Geoffrey Rush|Bill Nighy,Gore Verbinski,169,Adventure|Fantasy|Action,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,2007-05-19,2626,6.8,2007,315500574.789463,1010653507.9089099
7825,4.935897,11000000,104931801,Alien,Sigourney Weaver|Tom Skerritt|Veronica Cartwright|Harry Dean Stanton|John Hurt,Ridley Scott,117,Horror|Action|Thriller|Science Fiction,Twentieth Century-Fox Productions|Brandywine Productions,1979-05-25,2724,7.6,1979,33050094.027517498,315273262.68425
7882,4.831966,6400000,78371200,The Terminator,Arnold Schwarzenegger|Michael Biehn|Linda Hamilton|Paul Winfield|Lance Henriksen,James Cameron,108,Action|Thriller|Science Fiction,Orion Pictures|Pacific Western|Hemdale Film|Cinema 84|Euro Film Funding,1984-10-26,2692,7.1,1984,13433869.050842501,164504443.46209198
7987,4.828854,32350000,572700000,Return of the Jedi,Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams|Anthony Daniels,Richard Marquand,135,Adventure|Action|Science Fiction,Lucasfilm|Twentieth Century Fox Film Corporation,1983-05-23,3101,7.8,1983,70824243.1274759,1253818981.11608
8067,4.76535899999999,33000000,327311859,Se7en,Brad Pitt|Morgan Freeman|Gwyneth Paltrow|John C. McGinley|Kevin Spacey,David Fincher,127,Crime|Mystery|Thriller,New Line Cinema|Juno Pix|Cecchi Gori Pictures,1995-09-22,3535,7.9,1995,47221906.614529796,468372425.440186
8242,4.586426,1200000,14661007,Reservoir Dogs,Harvey Keitel|Tim Roth|Michael Madsen|Chris Penn|Steve Buscemi,Quentin Tarantino,99,Crime|Thriller,Live Entertainment|Lionsgate|Dog Eat Dog Productions Inc.,1992-06-25,2018,7.9,1992,1864829.10550674,22783560.4746984
8375,4.5783,18000000,389925971,Raiders of the Lost Ark,Harrison Ford|Karen Allen|Paul Freeman|Ronald Lacey|John Rhys-Davies,Steven Spielberg,115,Adventure|Action,Lucasfilm|Paramount Pictures,1981-06-12,2506,7.5,1981,43167434.4874226,935116878.2270651
8457,4.480733,75000000,816969268,Independence Day,Will Smith|Bill Pullman|Jeff Goldblum|Mary McDonnell|Judd Hirsch,Roland Emmerich,145,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Centropolis Entertainment,1996-06-25,2000,6.6,1996,104266255.42201899,1135764351.5897
8661,4.271452,103000000,457640427,Gladiator,Russell Crowe|Joaquin Phoenix|Connie Nielsen|Oliver Reed|Richard Harris,Ridley Scott,155,Action|Drama|Adventure,DreamWorks SKG|Universal Pictures|Scott Free Productions|Red Wagon Entertainment|Mill Film,2000-05-01,3531,7.7,2000,130428087.77734299,579506463.914726
8888,4.215642,28000000,32768670,Blade Runner,Harrison Ford|Rutger Hauer|Sean Young|Edward James Olmos|Joe Turkel,Ridley Scott,117,Science Fiction|Drama|Thriller,Shaw Brothers|Warner Bros.|The Ladd Company,1982-06-25,2110,7.7,1982,63269987.2714343,74045476.2072083
8969,4.180540000000001,60000000,264118201,The Truman Show,Jim Carrey|Laura Linney|Noah Emmerich|Natascha McElhone|Ed Harris,Peter Weir,103,Comedy|Drama,Paramount Pictures|Scott Rudin Productions,1998-06-04,2392,7.6,1998,80261728.1446979,353309720.778811
9179,4.143585,40000000,211343479,The Little Mermaid,Jodi Benson|Christopher Daniel Barnes|Jason Marin|Samuel E. Wright|Buddy Hackett,Ron Clements|John Musker,83,Animation|Family,Walt Disney Pictures,1989-11-17,1042,7.1,1989,70359397.5617302,371749996.526004
9316,3.852269,25000000,377350553,Beauty and the Beast,Paige O'Hara|Robby Benson|Richard White|Jerry Orbach|David Ogden Stiers,Gary Trousdale|Kirk Wise,84,Romance|Family|Animation|Fantasy|Music,Walt Disney Pictures|Walt Disney Animation Studios|Silver Screen Partners IV,1991-11-12,1703,7.3,1991,40027321.0482546,604173269.3066981
9449,3.7774410000000005,28000000,140767956,Die Hard,Bruce Willis|Alan Rickman|Alexander Godunov|Bonnie Bedelia|Reginald VelJohnson,John McTiernan,131,Action|Thriller,Twentieth Century Fox Film Corporation|Gordon Company|Silver Pictures,1988-07-15,2800,7.2,1988,51628948.6465286,259560770.407171
9594,3.474728,18000000,98235548,Predator,Arnold Schwarzenegger|Carl Weathers|Elpidia Carrillo|Bill Duke|Jesse Ventura,John McTiernan,107,Science Fiction|Action|Adventure|Thriller,Twentieth Century Fox Film Corporation|Lawrence Gordon Productions|Davis Entertainment|Silver Pictures|Amercent Films,1987-06-11,1250,7.1,1987,34543447.885163695,188521918.48936102
9719,3.309196,12000000,56715371,2001: A Space Odyssey,Keir Dullea|Douglas Rain|Gary Lockwood|William Sylvester|Daniel Richter,Stanley Kubrick,149,Science Fiction|Mystery|Adventure,Stanley Kubrick Productions|Metro-Goldwyn-Mayer (MGM),2068-04-05,1708,7.7,1968,75227563.3792221,355546597.20654905
9758,3.264571,13000000,47542841,The Godfather: Part II,Al Pacino|Robert Duvall|Diane Keaton|Robert De Niro|John Cazale,Francis Ford Coppola,200,Drama|Crime,Paramount Pictures|The Coppola Company,1974-12-20,2131,8.1,1974,57489690.5506849,210247939.768493
9805,3.258151,3000000,108981275,One Flew Over the Cuckoo's Nest,Jack Nicholson|Louise Fletcher|Danny DeVito|William Redfield|Scatman Crothers,MiloÅ¡ Forman,133,Drama,Fantasy Films|Warner Bros.,1975-11-18,1612,8.0,1975,12155463.5161866,441572637.403333
9849,3.170651,1100000,59600000,Dr. No,Sean Connery|Ursula Andress|Joseph Wiseman|Jack Lord|Bernard Lee,Terence Young,110,Adventure|Action|Thriller,Eon Productions|Metro-Goldwyn-Mayer (MGM),2062-10-04,560,6.7,1962,7929293.7666380005,429623553.174204
9881,3.153791,3500000,124900000,Goldfinger,Sean Connery|Honor Blackman|Gert FrÃ¶be|Shirley Eaton|Tania Mallet,Guy Hamilton,110,Adventure|Action|Thriller,Eon Productions|Metro-Goldwyn-Mayer (MGM),2064-09-17,602,7.0,1964,24605935.9359851,878080399.544157
9923,3.072555,2200000,26589000,A Clockwork Orange,Malcolm McDowell|Patrick Magee|Adrienne Corri|Michael Bates|Warren Clarke,Stanley Kubrick,136,Science Fiction|Drama,Hawk Films|Warner Bros.,2071-12-18,1786,7.7,1971,11847428.8117621,143186947.579974
9978,2.679627,65000000,261317921,Total Recall,Arnold Schwarzenegger|Sharon Stone|Rachel Ticotin|Ronny Cox|Michael Ironside,Paul Verhoeven,113,Action|Adventure|Science Fiction,TriStar Pictures|Carolco Pictures|Carolco International N.V.,1990-06-01,1012,6.8,1990,108478405.120447,436113096.91494
10110,2.631987,4000000,215880014,One Hundred and One Dalmatians,Rod Taylor|J. Pat O'Malley|Betty Lou Gerson|Martha Wentworth|Ben Wright,Clyde Geronimi|Hamilton Luske|Wolfgang Reitherman,79,Adventure|Animation|Comedy|Family,Walt Disney Productions,2061-01-25,913,6.6,1961,29179444.8318826,1574814739.70476
10141,2.610362,806948,32000000,Psycho,Anthony Perkins|Vera Miles|John Gavin|Janet Leigh|Martin Balsam,Alfred Hitchcock,109,Drama|Horror|Thriller,Shamley Productions,2060-08-14,1180,8.0,1960,5949601.34364958,235934958.630279
10173,2.5826569999999998,1300000,28262574,Taxi Driver,Robert De Niro|Cybill Shepherd|Harvey Keitel|Jodie Foster|Peter Boyle,Martin Scorsese,113,Crime|Drama,Columbia Pictures Corporation|Italo/Judeo Productions|Bill/Phillips,1976-02-08,1269,7.8,1976,4981207.43701933,108293649.075468
10220,2.571339,14600000,70906973,Groundhog Day,Bill Murray|Andie MacDowell|Chris Elliott|Stephen Tobolowsky|Brian Doyle-Murray,Harold Ramis,101,Romance|Fantasy|Drama|Comedy,Columbia Pictures,1993-02-11,1339,7.2,1993,22038261.440801103,107031945.81848101
10398,2.550704,4000000,205843612,The Jungle Book,Phil Harris|Sebastian Cabot|Louis Prima|George Sanders|Sterling Holloway,Wolfgang Reitherman,78,Family|Animation|Adventure,Walt Disney Pictures,2067-10-18,928,7.0,1967,26147054.9591484,1345551058.9884
10438,2.508235,2500000,78898765,From Russia With Love,Sean Connery|Daniela Bianchi|Lotte Lenya|Robert Shaw|Bernard Lee,Terence Young,115,Action|Thriller|Adventure,Eon Productions|Metro-Goldwyn-Mayer (MGM)|Danjaq,2063-10-11,458,6.7,1963,17800448.428896803,561773358.994459
10472,2.485419,18500000,131060248,Aliens,Sigourney Weaver|Carrie Henn|Michael Biehn|Lance Henriksen|Paul Reiser,James Cameron,137,Horror|Action|Thriller|Science Fiction,Twentieth Century Fox Film Corporation|SLM Production Group|Brandywine Productions,1986-07-18,2027,7.6,1986,36804018.6009499,260732097.580384
10593,2.2724860000000002,15000000,32056467,Robin Hood,Brian Bedford|Phil Harris|Peter Ustinov|Pat Buttram|Ken Curtis,Wolfgang Reitherman,83,Animation|Family,Walt Disney Productions,1973-11-08,641,6.9,1973,73667393.6819896,157434424.969513
10648,1.9369619999999999,4000000,55675257,The Aristocats,Phil Harris|Sterling Holloway|Scatman Crothers|Eva Gabor|Paul Winchell,Wolfgang Reitherman,78,Animation|Comedy|Family|Adventure,Walt Disney Productions,2070-12-24,625,7.0,1970,22465473.375605803,312692750.95337796
10689,1.910465,11000000,141195658,Thunderball,Sean Connery|Claudine Auger|Adolfo Celi|Luciana Paluzzi|Rik Van Nutter,Terence Young,130,Adventure|Action|Thriller,Eon Productions|Metro-Goldwyn-Mayer (MGM),2065-12-16,331,6.3,1965,76126200.6312938,977153544.4705039
10724,1.778746,7000000,81974493,On Her Majesty's Secret Service,George Lazenby|Diana Rigg|Telly Savalas|Gabriele Ferzetti|Ilse Steppat,Peter R. Hunt,142,Adventure|Action|Thriller,Eon Productions|Metro-Goldwyn-Mayer (MGM)|Danjaq,2069-12-12,258,6.4,1969,41609849.40801071,487278044.146861
10755,1.697618,6000000,181813770,Grease,John Travolta|Olivia Newton-John|Stockard Channing|Jeff Conaway|Didi Conn,Randal Kleiser,110,Music,Paramount Pictures|Robert Stigwood Organization (RSO),1978-07-07,786,7.0,1978,20056204.169484198,607749015.323942
10820,1.227582,315000,0,How the Grinch Stole Christmas!,Boris Karloff|June Foray|Thurl Ravenscroft|Dal McKennon,Chuck Jones|Ben Washam,26,Animation|Family|Comedy,MGM Television|The Cat in the Hat Productions,2066-12-18,286,7.1,1966,2116174.62807391,0.0
