,original_title,revenue,budget,profit,revenue_adj,budget_adj,profit_adj
57,Mortdecai,30418560,60000000,-29581440,27985062.8865723,55199975.71201059,-27214912.82543829
58,The Danish Girl,64191523,15000000,49191523,59056175.175282896,13799993.9280026,45256181.2472803
59,Blackhat,17752940,70000000,-52247060,16332697.613613,64399971.6640124,-48067274.0503994
60,Sicario,84025816,30000000,54025816,77303716.7063646,27599987.856005296,49703728.850359306
61,Fantastic Four,167977596,120000001,47977595,154539320.322699,110399952.34402,44139367.978679016
62,The Witch,40423945,3500000,36923945,37190013.0363942,3219998.58320062,33970014.45319358
63,Spy,235666219,65000000,170666219,216812826.082356,59799973.6880115,157012852.3943445
64,Focus,153962963,50100000,103862963,141645863.63582,46091979.7195289,95553883.9162911
65,Hitman: Agent 47,82347656,35000000,47347656,75759810.18568349,32199985.8320062,43559824.35367729
66,In the Heart of the Sea,93820758,100000000,-6179242,86315059.3813738,91999959.5200178,-5684900.13864401
67,Survivor,0,20000000,-20000000,0.0,18399991.9040035,-18399991.9040035
68,Creed,137935567,35000000,102935567,126900665.803707,32199985.8320062,94700679.9717008
69,Trainwreck,140795793,35000000,105795793,129532072.56588799,32199985.8320062,97332086.73388179
70,Eye in the Sky,32848185,13000000,19848185,30220316.9030605,11959994.737602301,18260322.1654582
71,Legend,42972994,25000000,17972994,39535137.0845396,22999989.8800044,16535147.204535201
72,Beyond the Reach,45895,0,45895,42223.381421712096,0.0,42223.381421712096
73,Pan,128388320,150000000,-21611680,118117202.42843,137999939.280026,-19882736.851595983
74,Mythica: The Darkspore,0,0,0,0.0,0.0,0.0
75,Me and Earl and the Dying Girl,0,0,0,0.0,0.0,0.0
76,The Peanuts Movie,246233113,99000000,147233113,226534364.284879,91079959.92481759,135454404.3600614
77,Concussion,48623572,35000000,13623572,44733666.5571867,32199985.8320062,12533680.7251805
78,The Night Before,52395996,25000000,27395996,48204295.110110104,22999989.8800044,25204305.230105706
79,Knock Knock,5214043,2500000,2714043,4796917.44935632,2299998.98800044,2496918.4613558804
80,The Longest Ride,63013281,34000000,29013281,57972193.012235,31279986.236806,26692206.775429
81,Hotel Transylvania 2,466183544,80000000,386183544,428888671.76898396,73599967.61601421,355288704.1529697
82,Love the Coopers,24000000,17000000,7000000,22079990.2848042,15639993.118403,6439997.166401198
83,The Walk,61181942,35000000,26181942,56287361.873560704,32199985.8320062,24087376.041554503
84,Tracers,1863315,11000000,-9136685,1714249.04573042,10119995.5472019,-8405746.50147148
85,Vacation,104384188,31000000,73384188,96033410.70529921,28519987.4512055,67513423.2540937
86,Poltergeist,95437994,35000000,60437994,87802915.846717,32199985.8320062,55602930.0147108
87,Maggie,187112,4000000,-3812888,172142.964257095,3679998.38080071,-3507855.416543615
88,Equals,2000000,0,2000000,1839999.19040035,0.0,1839999.19040035
89,Child 44,3324330,50000000,-46675670,3058382.2543117995,45999979.7600089,-42941597.5056971
90,The Gift,58978653,5000000,53978653,54260336.885451704,4599997.97600089,49660338.909450814
91,Daddy's Home,240360392,50000000,190360392,221131463.342156,45999979.7600089,175131483.5821471
92,Mythica: The Necromancer,0,0,0,0.0,0.0,0.0
93,Vice,0,10000000,-10000000,0.0,9199995.95200178,-9199995.95200178
94,The Little Prince,97571250,64000000,33571250,89765510.50317529,58879974.0928114,30885536.41036389
95,Alvin and the Chipmunks: The Road Chip,233755553,0,233755553,215055014.135793,0.0,215055014.135793
96,The Dressmaker,18340000,11930000,6410000,16872792.5759712,10975595.1707381,5897197.405233102
97,The DUFF,43528634,8500000,35028634,40046325.65961671,7819996.55920151,32226329.1004152
98,Sinister 2,52882018,10000000,42882018,48651435.1533685,9199995.95200178,39451439.20136672
99,Paul Blart: Mall Cop 2,107597242,30000000,77597242,98989419.0846556,27599987.856005296,71389431.2286503
100,Frozen Fever,0,0,0,0.0,0.0,0.0
101,High-Rise,0,0,0,0.0,0.0,0.0
102,The Boy Next Door,50163103,4000000,46163103,46150034.4539848,3679998.38080071,42470036.07318409
103,Spooks: The Greater Good,0,0,0,0.0,0.0,0.0
104,Entourage,49263404,30000000,19263404,45322311.73818279,27599987.856005296,17722323.882177494
105,The Wedding Ringer,79799880,23000000,56799880,73415857.2970227,21159990.689604,52255866.6074187
106,Scouts Guide to the Zombie Apocalypse,14860766,15000000,-139234,13671898.704364501,13799993.9280026,-128095.22363809869
107,The Visit,98450062,5000000,93450062,90574017.18743241,4599997.97600089,85974019.21143152
108,Black Mass,99775678,53000000,46775678,91793583.3708233,48759978.5456094,43033604.825213894
109,Heist,50136,8900000,-8849864,46125.099704956105,8187996.39728158,-8141871.297576624
110,Krampus,61548707,15000000,46548707,56624785.5250943,13799993.9280026,42824791.597091705
111,Dark Places,208588,20000000,-19791412,191900.87556361398,18399991.9040035,-18208091.028439887
112,No Escape,54418872,5000000,49418872,50065340.2112503,4599997.97600089,45465342.23524941
113,Dope,17986781,700000,17286781,16547831.2389542,643999.716640124,15903831.522314075
114,American Ultra,28208085,28000000,208085,25951426.781372197,25759988.665604897,191438.11576730013
115,Woman in Gold,61619773,11000000,50619773,56690166.216326796,10119995.5472019,46570170.669124894
116,The Scorpion King: The Lost Throne,0,0,0,0.0,0.0,0.0
117,Sisters,105011053,30000000,75011053,96610126.25154442,27599987.856005296,69010138.39553912
118,Project Almanac,32248241,12000000,20248241,29668368.665917702,11039995.1424021,18628373.523515604
119,Absolutely Anything,5189646,0,5189646,4774472.21923222,0.0,4774472.21923222
120,The Transporter Refueled,72629670,25000000,47629670,66819266.9995225,22999989.8800044,43819277.1195181
121,Crimson Peak,74679822,55000000,19679822,68705406.0096213,50599977.7360098,18105428.27361151
122,Everly,0,0,0,0.0,0.0,0.0
123,Magic Mike XXL,122413057,14800000,107613057,112619962.88721599,13615994.0089626,99003968.87825339
124,Paranormal Activity: The Ghost Dimension,78099553,10000000,68099553,71851557.1453148,9199995.95200178,62651561.19331302
125,Slow West,229094,0,229094,210766.38726278898,0.0,210766.38726278898
126,Trumbo,8235661,15000000,-6764339,7576804.78620589,13799993.9280026,-6223189.14179671
127,Secret in Their Eyes,32189727,19500000,12689727,29614535.809604198,17939992.1064034,11674543.703200798
128,Mistress America,2500431,0,2500431,2300395.50782597,0.0,2300395.50782597
129,The SpongeBob Movie: Sponge Out of Water,311594032,74000000,237594032,286666383.306791,68079970.0448131,218586413.2619779
130,True Story,4719695,0,4719695,4342117.4894683,0.0,4342117.4894683
131,Max,43967255,20000000,23967255,40449856.802063,18399991.9040035,22049864.898059502
132,Shaun the Sheep Movie,59700000,0,59700000,54923975.83345061,0.0,54923975.83345061
133,Louder Than Bombs,0,11000000,-11000000,0.0,10119995.5472019,-10119995.5472019
134,A Perfect Day,1702433,0,1702433,1566237.67085542,0.0,1566237.67085542
135,The Gunman,10664749,40000000,-29335251,9811564.7629115,36799983.808007106,-26988419.045095608
136,Unfriended,62882090,1000000,61882090,57851497.3453411,919999.595200178,56931497.75014092
137,Hot Pursuit,51680201,35000000,16680201,47545763.999863796,32199985.8320062,15345778.167857595
138,Insidious: Chapter 3,104303851,10000000,94303851,95959500.6978197,9199995.95200178,86759504.74581791
139,Z for Zachariah,118483,0,118483,109004.312038102,0.0,109004.312038102
140,Dragonheart 3: The Sorcerer's Curse,0,0,0,0.0,0.0,0.0
141,The Lady in the Van,41387687,6000000,35387687,38076655.2862716,5519997.57120106,32556657.715070542
142,Victor Frankenstein,34227298,40000000,-5772702,31489100.3047958,36799983.808007106,-5310883.503211305
143,Brothers of the Wind,0,0,0,0.0,0.0,0.0
144,Anomalisa,3759286,8000000,-4240714,3458541.59824169,7359996.76160142,-3901455.16335973
145,Bone Tomahawk,0,1800000,-1800000,0.0,1655999.27136032,-1655999.27136032
146,Regression,17671101,0,17671101,16257405.7667414,0.0,16257405.7667414
147,Pawn Sacrifice,0,0,0,0.0,0.0,0.0
148,The Man Who Knew Infinity,11472454,0,11472454,10554653.0359526,0.0,10554653.0359526
149,Momentum,0,20000000,-20000000,0.0,18399991.9040035,-18399991.9040035
150,The Diary of a Teenage Girl,1477002,2000000,-522998,1358841.24210985,1839999.19040035,-481157.94829049986
151,Pay the Ghost,0,0,0,0.0,0.0,0.0
152,The Voices,0,0,0,0.0,0.0,0.0
153,Last Knights,3643591,0,3643591,3352102.24507501,0.0,3352102.24507501
154,Il racconto dei racconti,0,12000000,-12000000,0.0,11039995.1424021,-11039995.1424021
155,Irrational Man,27391084,11000000,16391084,25199786.192094002,10119995.5472019,15079790.644892102
156,Queen of the Desert,0,15000000,-15000000,0.0,13799993.9280026,-13799993.9280026
157,Ricki and the Flash,41325328,18000000,23325328,38019285.0315145,16559992.713603199,21459292.317911305
158,Miss You Already,0,0,0,0.0,0.0,0.0
159,Kung Fury,0,630019,-630019,0.0,579617.224968421,-579617.224968421
160,The Perfect Guy,60273173,12000000,48273173,55451294.7614303,11039995.1424021,44411299.6190282
161,A Bigger Splash,1936524,0,1936524,1781601.29609542,0.0,1781601.29609542
162,While We're Young,7587485,10000000,-2412515,6980483.12858742,9199995.95200178,-2219512.82341436
163,Get Hard,106511453,40000000,66511453,97990493.6441828,36799983.808007106,61190509.836175695
164,Kidnapping Mr. Heineken,0,0,0,0.0,0.0,0.0
165,The Ridiculous 6,0,60000000,-60000000,0.0,55199975.71201059,-55199975.71201059
166,Kill Me Three Times,0,0,0,0.0,0.0,0.0
167,The 33,24902723,25000000,-97277,22910495.079382103,22999989.8800044,-89494.80062229559
168,Suffragette,16002420,14000000,2002420,14722219.9222232,12879994.3328024,1842225.5894207992
169,45 Years,0,0,0,0.0,0.0,0.0
170,We Are Your Friends,11122090,6000000,5122090,10232318.297779901,5519997.57120106,4712320.726578841
171,Barely Lethal,6075,0,6075,5588.997540841079,0.0,5588.997540841079
172,Macbeth,13192457,0,13192457,12137055.0996957,0.0,12137055.0996957
173,Extraction,16775,0,16775,15432.9932094829,0.0,15432.9932094829
174,Jenny's Wedding,0,0,0,0.0,0.0,0.0
175,Descendants,0,0,0,0.0,0.0,0.0
176,Tumbledown,0,0,0,0.0,0.0,0.0
177,Far from the Madding Crowd,30229977,0,30229977,27811566.6029106,0.0,27811566.6029106
178,The End of the Tour,3002884,0,3002884,2762652.06443309,0.0,2762652.06443309
179,The Second Best Exotic Marigold Hotel,85978266,10000000,75978266,79099969.91601321,9199995.95200178,69899973.96401143
180,Little Boy,6420319,20000000,-13579681,5906690.88105601,18399991.9040035,-12493301.02294749
181,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,0,0,0,0.0,0.0,0.0
182,Remember,1986615,0,1986615,1827684.9958186,0.0,1827684.9958186
183,Aloha,26250020,37000000,-10749980,24150007.7739965,34039985.0224065,-9889977.248410005
184,Accidental Love,0,26000000,-26000000,0.0,23919989.475204602,-23919989.475204602
185,Halo: The Fall of Reach,0,0,0,0.0,0.0,0.0
186,Our Brand Is Crisis,7002261,28000000,-20997739,6442077.28548599,25759988.665604897,-19317911.380118906
187,Into the Forest,0,0,0,0.0,0.0,0.0
188,The Invitation,231737,0,231737,213197.946192903,0.0,213197.946192903
189,The Benefactor,0,0,0,0.0,0.0,0.0
190,Open Season: Scared Silly,0,0,0,0.0,0.0,0.0
191,Cop Car,134552,0,134552,123787.785533374,0.0,123787.785533374
192,Mojave,0,0,0,0.0,0.0,0.0
193,Sleeping with Other People,3214116,0,3214116,2956985.41892641,0.0,2956985.41892641
194,Forsaken,0,11000000,-11000000,0.0,10119995.5472019,-10119995.5472019
195,Amy,8413144,0,8413144,7740089.0743608,0.0,7740089.0743608
196,Madame Bovary,0,0,0,0.0,0.0,0.0
197,The Hallow,0,0,0,0.0,0.0,0.0
198,Barbie in Princess Power,0,0,0,0.0,0.0,0.0
199,Howl,0,0,0,0.0,0.0,0.0
200,Freeheld,573335,7000000,-6426665,527467.967914094,6439997.16640124,-5912529.198487146
201,Man Up,0,0,0,0.0,0.0,0.0
202,Love,695269,3000000,-2304731,639647.198555232,2759998.78560053,-2120351.587045298
203,Truth,2541554,9600000,-7058446,2338228.65117939,8831996.11392171,-6493767.462742319
204,Return to Sender,0,0,0,0.0,0.0,0.0
205,Danny Collins,10835752,10000000,835752,9968887.45368952,9199995.95200178,768891.501687739
206,Rock the Kasbah,3020664,15000000,-11979336,2779009.65723575,13799993.9280026,-11020984.27076685
207,Fathers and Daughters,0,2240000,-2240000,0.0,2060799.09324839,-2060799.09324839
208,"Hello, My Name Is Doris",14444999,1000000,13444999,13289393.2326669,919999.595200178,12369393.637466723
209,The Vatican Tapes,1784763,13000000,-11215237,1641981.23752825,11959994.737602301,-10318013.500074051
210,99 Homes,1411927,8000000,-6588073,1298972.2684521999,7359996.76160142,-6061024.49314922
211,Hot Tub Time Machine 2,12314651,14000000,-1685349,11329473.935031401,12879994.3328024,-1550520.397770999
212,Knight of Cups,0,0,0,0.0,0.0,0.0
213,Manglehorn,143101,4000000,-3856899,131652.86207274,3679998.38080071,-3548345.51872797
214,Mississippi Grind,0,0,0,0.0,0.0,0.0
215,400 Days,0,0,0,0.0,0.0,0.0
216,Lava,0,0,0,0.0,0.0,0.0
217,Air,0,0,0,0.0,0.0,0.0
218,Riot,0,0,0,0.0,0.0,0.0
219,Septembers of Shiraz,0,0,0,0.0,0.0,0.0
220,Every Thing Will Be Fine,8034,0,8034,7391.27674783823,0.0,7391.27674783823
221,Extinction,0,0,0,0.0,0.0,0.0
222,The Childhood of a Leader,0,0,0,0.0,0.0,0.0
223,A Walk in the Woods,35991087,8000000,27991087,33111785.4708143,7359996.76160142,25751788.709212877
224,Clown,0,0,0,0.0,0.0,0.0
225,The Lazarus Effect,64110728,3300000,60810728,58981843.80798871,3035998.66416058,55945845.14382813
226,Batman vs. Robin,0,0,0,0.0,0.0,0.0
227,Careful What You Wish For,0,8000000,-8000000,0.0,7359996.76160142,-7359996.76160142
228,Racing Extinction,0,0,0,0.0,0.0,0.0
229,Unfinished Business,14431253,35000000,-20568747,13276746.918231301,32199985.8320062,-18923238.9137749
230,Lost River,45431,2000000,-1954569,41796.5016095392,1839999.19040035,-1798202.6887908108
231,Cobain: Montage of Heck,0,0,0,0.0,0.0,0.0
232,Hyena Road,0,0,0,0.0,0.0,0.0
233,Criminal Activities,0,7000000,-7000000,0.0,6439997.16640124,-6439997.16640124
234,Life,0,12000000,-12000000,0.0,11039995.1424021,-11039995.1424021
235,"McFarland, USA",45710059,0,45710059,42053235.776576206,0.0,42053235.776576206
236,Backtrack,0,0,0,0.0,0.0,0.0
237,X+Y,0,0,0,0.0,0.0,0.0
238,Home Sweet Hell,0,3000000,-3000000,0.0,2759998.78560053,-2759998.78560053
239,Ooops! Noah is Gone...,0,6000000,-6000000,0.0,5519997.57120106,-5519997.57120106
240,The Unspoken,0,0,0,0.0,0.0,0.0
241,Hot Girls Wanted,0,0,0,0.0,0.0,0.0
242,The Gallows,42664410,100000,42564410,39251239.9294544,91999.95952001779,39159239.96993438
243,Dirty Weekend,0,0,0,0.0,0.0,0.0
244,I Spit on Your Grave III: Vengeance is Mine,0,0,0,0.0,0.0,0.0
245,Experimenter,0,0,0,0.0,0.0,0.0
246,By the Sea,3334927,10000000,-6665073,3068131.49002214,9199995.95200178,-6131864.461979641
247,Woodlawn,0,0,0,0.0,0.0,0.0
248,The Hollow,0,0,0,0.0,0.0,0.0
249,Visions,0,0,0,0.0,0.0,0.0
250,Beyond the Mask,1236094,0,1236094,1137205.97962936,0.0,1137205.97962936
251,I Am Here,0,0,0,0.0,0.0,0.0
252,Wild Horses,0,0,0,0.0,0.0,0.0
253,Pressure,0,0,0,0.0,0.0,0.0
254,Hidden,0,0,0,0.0,0.0,0.0
255,Hell & Back,157768,0,157768,145146.496135541,0.0,145146.496135541
256,Robot Overlords,0,21000000,-21000000,0.0,19319991.4992037,-19319991.4992037
257,The Man with the Iron Fists 2,0,0,0,0.0,0.0,0.0
258,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,0,0,0,0.0,0.0,0.0
259,Crown for Christmas,0,0,0,0.0,0.0,0.0
260,Spare Parts,0,0,0,0.0,0.0,0.0
261,The World Made Straight,0,0,0,0.0,0.0,0.0
262,Last Shift,0,0,0,0.0,0.0,0.0
263,Frankenstein,0,0,0,0.0,0.0,0.0
264,Cartel Land,0,0,0,0.0,0.0,0.0
265,Superfast!,0,20000000,-20000000,0.0,18399991.9040035,-18399991.9040035
266,Moonwalkers,0,0,0,0.0,0.0,0.0
267,Chi-Raq,0,0,0,0.0,0.0,0.0
268,Bad Asses on the Bayou,0,5300000,-5300000,0.0,4875997.85456094,-4875997.85456094
269,Strange Magic,13603453,0,13603453,12515171.2533246,0.0,12515171.2533246
270,Black or White,21571189,9000000,12571189,19845485.147986498,8279996.356801599,11565488.791184898
271,Dead Rising,0,0,0,0.0,0.0,0.0
272,Deathgasm,0,0,0,0.0,0.0,0.0
273,Justice League: Gods and Monsters,0,0,0,0.0,0.0,0.0
274,I Saw the Light,1646788,13000000,-11353212,1515044.29338051,11959994.737602301,-10444950.44422179
275,Good Kill,316472,0,316472,291154.11189219,0.0,291154.11189219
276,Southbound,0,0,0,0.0,0.0,0.0
277,Star Trek: Renegades,0,0,0,0.0,0.0,0.0
278,The Boy,0,0,0,0.0,0.0,0.0
279,Riley's First Date?,0,0,0,0.0,0.0,0.0
280,The Program,3286448,0,3286448,3023530.82964643,0.0,3023530.82964643
281,Lila & Eve,0,0,0,0.0,0.0,0.0
282,The Final Girls,0,0,0,0.0,0.0,0.0
283,He Never Died,0,0,0,0.0,0.0,0.0
284,A Very Murray Christmas,0,0,0,0.0,0.0,0.0
285,Kill Your Friends,0,0,0,0.0,0.0,0.0
286,Battle For SkyArk,0,0,0,0.0,0.0,0.0
287,Jem and the Holograms,2333684,5000000,-2666316,2146988.33532513,4599997.97600089,-2453009.6406757603
288,The Adderall Diaries,0,0,0,0.0,0.0,0.0
289,Grizzly,0,10000000,-10000000,0.0,9199995.95200178,-9199995.95200178
290,Where to Invade Next,0,0,0,0.0,0.0,0.0
291,Beasts of No Nation,90777,6000000,-5909223,83514.8032534865,5519997.57120106,-5436482.767947573
292,A Christmas Horror Story,0,0,0,0.0,0.0,0.0
293,Sunset Song,0,0,0,0.0,0.0,0.0
294,Synchronicity,4505,0,4505,4144.5981763767995,0.0,4144.5981763767995
295,12 Gifts of Christmas,0,0,0,0.0,0.0,0.0
296,The Pack,0,0,0,0.0,0.0,0.0
297,Demonic,3387000,3000000,387000,3116038.628943,2759998.78560053,356039.84334247
298,The Girl in the Photographs,0,0,0,0.0,0.0,0.0
299,The Legend of Barney Thomson,0,0,0,0.0,0.0,0.0
300,The Duke of Burgundy,0,1000000,-1000000,0.0,919999.595200178,-919999.595200178
301,88,0,0,0,0.0,0.0,0.0
302,The Girl in the Book,0,0,0,0.0,0.0,0.0
303,Avengers Grimm,0,0,0,0.0,0.0,0.0
304,The D Train,771317,447524,323793,709611.327771015,411721.89884236397,297889.42892865103
305,The Lion Guard: Return of the Roar,0,0,0,0.0,0.0,0.0
306,A Royal Night Out,228136,0,228136,209885.027650587,0.0,209885.027650587
307,Parallels,0,0,0,0.0,0.0,0.0
308,Born to Be Blue,830129,0,830129,763718.3439639279,0.0,763718.3439639279
309,The Marine 4: Moving Target,0,1950000,-1950000,0.0,1793999.21064034,-1793999.21064034
310,Tales of Halloween,0,0,0,0.0,0.0,0.0
311,Blunt Force Trauma,0,1000000,-1000000,0.0,919999.595200178,-919999.595200178
312,Operator,0,0,0,0.0,0.0,0.0
313,The Human Centipede 3 (Final Sequence),0,0,0,0.0,0.0,0.0
314,Spring,49970,0,49970,45972.3797721529,0.0,45972.3797721529
315,The Intruders,0,0,0,0.0,0.0,0.0
316,We Are Still Here,0,0,0,0.0,0.0,0.0
317,Monster High: Haunted,0,0,0,0.0,0.0,0.0
318,3-Headed Shark Attack,0,0,0,0.0,0.0,0.0
319,Navy Seals vs. Zombies,0,0,0,0.0,0.0,0.0
320,Wrecker,0,0,0,0.0,0.0,0.0
321,The Escort,0,0,0,0.0,0.0,0.0
322,Martyrs,0,0,0,0.0,0.0,0.0
323,Uncanny,0,0,0,0.0,0.0,0.0
324,Bad Hair Day,0,0,0,0.0,0.0,0.0
325,Area 51,0,5000000,-5000000,0.0,4599997.97600089,-4599997.97600089
326,San Andreas Quake,0,0,0,0.0,0.0,0.0
327,The Runner,0,6000000,-6000000,0.0,5519997.57120106,-5519997.57120106
328,Advantageous,0,0,0,0.0,0.0,0.0
329,Partisan,0,0,0,0.0,0.0,0.0
330,R.L. Stine's Monsterville: The Cabinet of Souls,0,4400000,-4400000,0.0,4047998.21888078,-4047998.21888078
331,Strangerland,17472,10000000,-9982528,16074.2329273375,9199995.95200178,-9183921.719074443
332,Ashby,0,0,0,0.0,0.0,0.0
333,Beautiful & Twisted,0,0,0,0.0,0.0,0.0
334,Ronaldo,0,0,0,0.0,0.0,0.0
335,Going Clear: Scientology and the Prison of Belief,0,0,0,0.0,0.0,0.0
336,Zipper,0,0,0,0.0,0.0,0.0
337,War Pigs,0,0,0,0.0,0.0,0.0
338,Turbo Kid,0,0,0,0.0,0.0,0.0
339,Barbie in Rock 'N Royals,0,0,0,0.0,0.0,0.0
340,Circle,0,0,0,0.0,0.0,0.0
341,Monkey Kingdom,16661077,0,16661077,15328184.095599,0.0,15328184.095599
342,Joe Dirt 2: Beautiful Loser,0,0,0,0.0,0.0,0.0
343,Minions: The Competition,0,0,0,0.0,0.0,0.0
344,I'll See You in My Dreams,7449681,0,7449681,6853703.50437045,0.0,6853703.50437045
345,Jesse Stone: Lost in Paradise,0,0,0,0.0,0.0,0.0
346,Steve Jobs: The Man in the Machine,494506,0,494506,454945.31982405897,0.0,454945.31982405897
347,Babysitter's Black Book,0,0,0,0.0,0.0,0.0
348,The Ones Below,0,0,0,0.0,0.0,0.0
349,Tremors 5: Bloodlines,0,0,0,0.0,0.0,0.0
350,Captive,2801508,2000000,801508,2577386.22595006,1839999.19040035,737387.03554971
351,Terminus,0,0,0,0.0,0.0,0.0
352,Andron,0,0,0,0.0,0.0,0.0
353,How to Plan an Orgy in a Small Town,0,0,0,0.0,0.0,0.0
354,Freaks of Nature,70958,0,70958,65281.3312762142,0.0,65281.3312762142
355,Reversal,0,0,0,0.0,0.0,0.0
356,Batman Unlimited: Monster Mayhem,0,0,0,0.0,0.0,0.0
357,The Lovers,0,27000000,-27000000,0.0,24839989.0704048,-24839989.0704048
358,Holding the Man,0,0,0,0.0,0.0,0.0
359,Harbinger Down,0,0,0,0.0,0.0,0.0
360,Batman Unlimited: Animal Instincts,0,0,0,0.0,0.0,0.0
361,Entertainment,0,0,0,0.0,0.0,0.0
